Project Id,Project Title,Company Name,Category Name,
1159,FAIL,MTV Networks,Television,
1160,Wall Street Broll,Visionista,WEB,
1162,Oxygen - Bird,Revolver Films,Commercial,
1164,Antonio Croce,Vanessa Ly,Still Photography,
1165,MSG Marquee,Fuse TV,Television,
1166,Red Hook,Long Island University TV Writer's Studio,Student,
1167,Alfina,Impressionista Films,WEB,
1168,HOF Presser,Metrovision,Television,
1170,American Digger,Feeding Time Productions,Television,
1172,PLAYBOOK 2012,Viacom Spike TV,Television,
1174,WDYTYA-EF,Shed Media US,Documentary,
1175,MJZ Acura,MJZ,Commercial,
1176,Clairol,Greencard Pictures,Commercial,
1177,Microsoft Commercial,Jax Media LLC.,Commercial,
1178,Revol,Studio Center Corporation,Commercial,
1179,CAPCO HQ,Visionista,WEB,
1181,Captain Black Out,SUBVOYANT CORPORATION ,WEB,
